Unnamed: 0,formula,full_name,ave_ele_diele,ave_ion_diele,band_gap,cbm_d,cbm_f,cbm_p,cbm_s,formation_energy,vbm_d,vbm_f,vbm_p,vbm_s,ave_bec,bader_charge,bader_volume,nn_ave_ave_bec,nn_ave_bader_charge,nn_ave_eleneg,nn_max_ave_bec,nn_max_bader_charge,nn_max_eleneg,nn_min_ave_bec,nn_min_bader_charge,nn_min_eleneg,o2p_center_from_vbm,Bi,Ag,O,vacancy_formation_energy,Hg,Au,Ge,Al,Pb,Zn,As,Cu,Sb,Mo,Tl,B,Ba,Ca,Pd,Cd,Pt,Ce,Hf,In,Ga,La,Ta,Mg,Si,Sc,Sn,Ti,Y,Zr,Nb,Na,Sr,V,Li,Be,W,Cr,Cs,K,Re,Rb
19,AlAsO4,AlAsO4_Va_O1,2.4325093333333334,1.8331763333333333,4.3858,0.0071996294791847,0.0,0.9859066646964288,0.0068937058243863,-2.444837554166667,0.0088881576033958,0.0,0.980330831104869,0.0107810112917352,-1.552536666666667,-1.290393,21.56366,0.7762666666666669,0.612984068348909,2.6675,3.39975,2.633464,3.44,-1.552536666666667,-1.296704,1.61,2.1081297060123902,0.0,0.0,0.4999999999999999,3.7700192500000274,0.0,0.0,0.0,0.2499999999999999,0.0,0.0,0.2500000000000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,As2O3,As2O3_Va_O1,3.9215056666666666,4.464190666666667,3.3312,0.065577095306823,0.0,0.7470505914536735,0.1873723132395036,-1.6290845505,0.016490419666487,0.0,0.8322899784503707,0.1512196018831425,-1.9838866666666668,-1.0751720000000002,15.581963,0.7487448125437941,0.3908210034052352,2.745736482564582,2.9808533333333336,1.582325,3.44,-1.9551366666666663,-1.0118660000000004,2.18,3.651766647441685,0.0,0.0,0.4489972083845884,3.803732819999718,0.0,0.0,0.0,0.0,0.0,0.0,0.5510027916154117,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,As2O3,As2O3_Va_O2,3.9215056666666666,4.464190666666667,3.3312,0.065577095306823,0.0,0.7470505914536735,0.1873723132395036,-1.6290845505,0.016490419666487,0.0,0.8322899784503707,0.1512196018831425,-1.973396666666667,-1.042777,15.027031,1.1209234111052813,0.5697353842103366,2.6515650881606163,2.9808533333333336,1.582325,3.44,-1.973396666666667,-0.995641,2.18,3.61912449772006,0.0,0.0,0.3742580064766792,3.756670709999876,0.0,0.0,0.0,0.0,0.0,0.0,0.6257419935233207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,As2O3,As2O3_Va_O3,3.9215056666666666,4.464190666666667,3.3312,0.065577095306823,0.0,0.7470505914536735,0.1873723132395036,-1.6290845505,0.016490419666487,0.0,0.8322899784503707,0.1512196018831425,-1.9551366666666663,-1.011864,17.333401,1.0775313244838869,0.5816154041672956,2.6571443525075127,2.93157,1.582334,3.44,-1.9838866666666668,-1.0751470000000003,2.18,3.7018856453418607,0.0,0.0,0.3786859940535814,3.769753339999976,0.0,0.0,0.0,0.0,0.0,0.0,0.6213140059464185,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,As2Pb3O8,As2Pb3O8_Va_O1,4.870617666666667,22.20370266666667,3.2886,0.0198135463897373,0.0,0.7324779542722679,0.2477084993379941,-1.7352351134615382,0.0241073480104339,0.0,0.746221843872413,0.2296708081171534,-2.1443133333333333,-1.2244900000000003,16.361848,1.491949954201816,0.8356767581814479,2.6860742046445267,3.662673333333333,2.482071,2.33,3.4713366666666663,1.641366,2.18,2.7630077039862124,0.0,0.0,0.3543999730857776,2.7753270799997924,0.0,0.0,0.0,0.0,0.3968682570429805,0.0,0.248731769871242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
29,As2Pb3O8,As2Pb3O8_Va_O2,4.870617666666667,22.20370266666667,3.2886,0.0198135463897373,0.0,0.7324779542722679,0.2477084993379941,-1.7352351134615382,0.0241073480104339,0.0,0.746221843872413,0.2296708081171534,-2.2625266666666666,-1.2391829999999997,15.592335,1.4174785319792054,0.7791551689830263,2.7042365259736325,3.662673333333333,2.472043,2.33,3.4713366666666663,1.6413509999999998,2.18,2.9586236071888488,0.0,0.0,0.3689431437946108,3.171433119999969,0.0,0.0,0.0,0.0,0.3957877652828223,0.0,0.2352690909225669,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
30,As2Pb3O8,As2Pb3O8_Va_O3,4.870617666666667,22.20370266666667,3.2886,0.0198135463897373,0.0,0.7324779542722679,0.2477084993379941,-1.7352351134615382,0.0241073480104339,0.0,0.746221843872413,0.2296708081171534,-2.30878,-1.2204689999999996,15.092086,1.357894966841461,0.7567476181305021,2.7163595941283405,3.662673333333333,2.482071,2.33,3.4713366666666663,1.641366,2.18,2.977405786227416,0.0,0.0,0.3811895826195168,3.1593086699998683,0.0,0.0,0.0,0.0,0.373738133518328,0.0,0.2450722838621551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,As2Pb3O8,As2Pb3O8_Va_O4,4.870617666666667,22.20370266666667,3.2886,0.0198135463897373,0.0,0.7324779542722679,0.2477084993379941,-1.7352351134615382,0.0241073480104339,0.0,0.746221843872413,0.2296708081171534,-2.1547366666666665,-1.288608,16.950896,1.0717581486416272,0.6335041778723773,2.768647000263188,3.662673333333333,2.482071,3.44,-2.1547366666666665,-1.272825,2.18,2.651400752553627,0.0,0.0,0.4317892149232366,2.759128609999957,0.0,0.0,0.0,0.0,0.2972839297327274,0.0,0.2709268553440359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,As2PbO4,As2PbO4_Va_O1,4.637485333333333,6.2119670000000005,2.6284999999999994,0.0469302204595808,0.0,0.7780071240985784,0.1750626554418407,-1.6492657325,0.0208529366963734,0.0,0.8058020111694668,0.1733450521341586,-2.05984,-1.212116,17.58074,1.4009232736378627,0.8555398981300022,2.5488496637752465,2.816933333333333,1.863072,2.18,2.717153333333333,1.5418850000000002,2.18,3.6606861531341286,0.0,0.0,0.2827370067814834,3.853035769999914,0.0,0.0,0.0,0.0,0.0840069015371806,0.0,0.6332560916813361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
33,As2PbO4,As2PbO4_Va_O2,4.637485333333333,6.2119670000000005,2.6284999999999994,0.0469302204595808,0.0,0.7780071240985784,0.1750626554418407,-1.6492657325,0.0208529366963734,0.0,0.8058020111694668,0.1733450521341586,-2.094173333333333,-1.2587159999999995,15.651372,1.0698703764481443,0.6194921495086604,2.6503630288382656,3.202023333333333,1.863072,2.33,2.717153333333333,1.4474360000000002,2.18,3.697726588387933,0.0,0.0,0.3554294678997642,4.001207819999999,0.0,0.0,0.0,0.0,0.1501459952304165,0.0,0.4944245368698192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
